,id,sum,group
462,Lawrence Flynn,1,2
463,Lawrence Kupferman,1,2
464,Percy Lancaster,1,2
465,Lazzerini Workshop,1,2
466,Lee Hager,1,2
467,Leendert van der Cooghen,1,2
468,Lefebvre,1,2
469,Peltro William Tomkins,1,2
470,Lemercier & Cie,1,2
471,Lemesle,1,2
472,Lemuel Francis Abbott,1,2
473,Lawrence Barrett,1,2
474,Pierre Charles Levesque,1,2
475,Jules Dupré,1,2
476,José Clemente Orozco,1,2
477,John Gasaway,1,2
478,John Glover,1,2
479,Pierre Alexandre Wille,1,2
480,John Milton,1,2
481,John Olsen,1,2
482,John Osbold,1,2
483,John Ponsford,1,2
484,John Price,1,2
485,John R. Towers,1,2
486,John Singleton Copley,1,2
487,John Smith,1,2
488,John Thane,1,2
489,Juanita Donahoo,1,2
490,John Tubrant,1,2
491,Joseph Boze,1,2
492,Joseph Glover,1,2
493,Joseph Kranzinger,1,2
494,Philipp Otto Runge,1,2
495,Philipp Andreas Kilian,1,2
496,Joseph Margulies,1,2
497,Philip Reisman,1,2
498,Joseph Petitot,1,2
499,Joseph Wright,1,2
500,Josephine Prado,1,2
501,Joshua Thurston,1,2
502,José Chavez Morado,1,2
503,Jon Corbino,1,2
504,Esther Peck,1,2
505,Giuseppe Maria Moretti,1,2
506,Molly Bodenstein,1,2
507,Daniele Ricciarelli,1,2
508,David Baudringien,1,2
509,David Coster,1,2
510,William Byron,1,2
511,Auguste Delâtre,1,2
512,William Doughty,1,2
513,David Loggan,1,2
514,William Bos,1,2
515,Tim Storrier,1,2
516,Arthur Sander,1,2
517,Denis Charles Buldet,1,2
518,William Gropper,1,2
519,William H. Edwards,1,2
520,William Herbert,1,2
521,Desiderius Erasmus,1,2
522,Arthur Boyd,1,2
523,David Lucas,1,2
524,Diego Rivera,1,2
525,Daniel Mytens the Elder,1,2
526,Willem van Swanenburgh,1,2
527,Crispyn van den Queboorn,1,2
528,Barnabe Farmion de Rosoy,1,2
529,Barbara Burrage,1,2
530,Banduk Marika,1,2
531,Balthasar Moncornet,1,2
532,Baldassare d'Este,1,2
533,Cynthia Willard Iliff,1,2
534,Treva Wheete,1,2
535,D Davin,1,2
536,Dan Gualdoni,1,2
537,Willem Jansz. Blaeu,1,2
538,Daniel Berger,1,2
539,Austin L. Davison,1,2
540,Daniel H. Kahnweiler,1,2
541,Willem Kalf,1,2
542,Augustine Haugland,1,2
543,D. Gage,1,2
544,Dirck de Bray,1,2
545,Arlington Gregg,1,2
546,William Hogarth,1,2
547,William Lang,1,2
548,Thomas Phillips,1,2
549,Thomas O'Connor,1,2
550,Dosso Dossi,1,2
551,Thomas Holme,1,2
552,Douglas Ion Smart,1,2
553,William Merritt Chase,1,2
554,Thomas Robert Way,1,2
555,Dowdeswell and Dowdeswell,1,2
556,Annie L. Vaughn,1,2
557,Annie B. Johnston,1,2
558,Anne Goldthwaite,1,2
559,Anne Colman,1,2
560,Anna Maria van Schurman,1,2
561,E.A. Smaller,1,2
562,E.J. Gilsleider,1,2
563,Dutch 16th Century,1,2
564,Antoine Maxime Monsaldy,1,2
565,Dorothea Bates,1,2
566,Antoine Trouvain,1,2
567,Domenico Beccafumi,1,2
568,W. J. Alais,1,2
569,Domenico Piola,1,2
570,Anton Wierix II,1,2
571,Domenico Veneziano,1,2
572,Dominic Artaria,1,2
573,Dominique Lampsonius,1,2
574,Thomas Watson,1,2
575,Anton Mauve,1,2
576,Antoinette du Ligier de La * Deshoulieres,1,2
577,Donald Kirkpatrick,1,2
578,Antoine-Louis Barye,1,2
579,William Holl I,1,2
580,Donald Streeter,1,2
581,William Holl II,1,2
582,Doris Hollingsworth,1,2
583,William Kerby,1,2
584,Barthelemy Imbert,1,2
585,Earl Butlin,1,2
586,Barthelemy Joseph Fulcran Roger,1,2
587,Unknown 16th Century,1,2
588,Vincent van Gogh,1,2
589,Charles Francois Gabriel Levachez,1,2
590,Chauncey Foster Ryder,1,2
591,Charles Dupuis,1,2
592,Walter Pyle,1,2
593,Chevalier de Querelles,1,2
594,Childe Hassam,1,2
595,Charles Garjian,1,2
596,Charles Colle,1,2
597,Carson Sutherlin Davenport,1,2
598,Christabel Scrymser,1,2
599,Christian Cato,1,2
600,Christian von Mechel,1,2
601,Christoffel van Sichem I,1,2
602,Carlo Maratta,1,2
603,Christopher Hobbs,1,2
604,Cesare Nebbia,1,2
605,Carl Strehlau,1,2
606,Virgil,1,2
607,Charles Johnson,1,2
608,W. Douglas MacLeod,1,2
609,Charles Turner Warren,1,2
610,Charles Welch,1,2
611,Charles Perrault,1,2
612,Charles Wheeler Locke,1,2
613,Charles Nicolas Varin,1,2
614,Charles Michel-Ange Challe,1,2
615,Voltaire,1,2
616,Wallerant Vaillant,1,2
617,Charles Loring Elliott,1,2
618,Charles Lepeintre,1,2
619,Charles Willson Peale,1,2
620,Esther Molina,1,2
621,W. B. Dukes,1,2
622,Charles K. Gleeson,1,2
623,Charles-Eugene Duponchel,1,2
624,Charles Mannino,1,2
625,Clare Leighton,1,2
626,Carl Schutz,1,2
627,Claude Hoin,1,2
628,Colin Lanceley,1,2
629,Cornelis Boel,1,2
630,Benjamin Chambers Brown,1,2
631,Cornelis Botke,1,2
632,Venetian 15th Century,1,2
633,Benjamin Bryant,1,2
634,Benedetto Briosco,1,2
635,Bernard Vaillant,1,2
636,Beatrice S. Levy,1,2
637,Beatrice Christy,1,2
638,Veit Specklin,1,2
639,Baye M. Yancey,1,2
640,Bartolomeus van Lochom,1,2
641,Bartolomeo Bulgarini,1,2
642,Barthélemy Prieur,1,2
643,Cornelius Matsys,1,2
644,Velut,1,2
645,Wilfred Fairclough,1,2
646,Bertalan Bodnar,1,2
647,Wilbur M Rice,1,2
648,Warren B. Davis,1,2
649,Camillo Procaccini,1,2
650,Cadwallader Washburn,1,2
651,Claude Mellan,1,2
652,Claude-Augustin Duflos,1,2
653,Claude-Donat Jardinier,1,2
654,C.H. Hastings,1,2
655,C.-A.-L. Buisson,1,2
656,Vincent La Badessa,1,2
657,Clementine Fossek,1,2
658,Bruce Gentry,1,2
659,Boris Artzybasheff,1,2
660,Bonnemain (family member),1,2
661,Bohemian 17th Century,1,2
662,Cleon Barton,1,2
663,Clodion,1,2
664,Viguet,1,2
665,Ugo Mochi,1,2
666,Ann Thomson,1,2
667,Thomas de Keyser,1,2
668,Winifred Gibbes,1,2
669,Alexandre Tardieu,1,2
670,"Alexandre-Frédéric-Jacques Masson, marquis de Pezay",1,2
671,T. Joyce,1,2
672,Agnes Sims,1,2
673,Erhard Ratdolt,1,2
674,Agnes Miller Parker,1,2
675,Erhard Schön,1,2
676,El Greco,1,2
677,Alfred Parys,1,2
678,Alfred William Warren,1,2
679,Edwin Headley Holgate,1,2
680,Alexandre Chaponnier,1,2
681,The Colophon,1,2
682,Yves-Marie Le Gouaz,1,2
683,Edward Strzalkowski,1,2
684,Elmer Adler,1,2
685,Adriaen Pietersz van de Venne,1,2
686,Theocritus,1,2
687,William Woollett,1,2
688,William Washington,1,2
689,Edward Jewett,1,2
690,Edward Hopper,1,2
691,Edward Harding,1,2
692,Allen Lewis,1,2
693,Edward W. Buechner,1,2
694,Wolfgang Philipp Kilian,1,2
695,Alexander Nasmyth,1,2
696,Erhard Etzlaub,1,2
697,Albert Edelfelt,1,2
698,Elzy J. Bird,1,2
699,Albert Engstrom,1,2
700,Sébastien Bourdon,1,2
701,Elizabeth T. Reike,1,2
702,Albert Camilli,1,2
703,Elisha Kent Kane Wetherill,1,2
704,Elisabeth Sophie Cheron,1,2
705,Emil Orlik,1,2
706,Emil Warns,1,2
707,Winslow Homer,1,2
708,Winifred Hoover,1,2
709,Emile Antoine Verpilleux,1,2
710,Emile Bernard,1,2
711,Willoughby Ions,1,2
712,Elias Martin,1,2
713,Emilio Amero,1,2
714,Alessandro Allori,1,2
715,Sébastien Le Clerc I,1,2
716,Emily Gierman,1,2
717,Emma Wilson,1,2
718,Alessandro Mastro-Valerio,1,2
719,English 16th Century,1,2
720,Albert Allen,1,2
721,Erhard Altdorfer,1,2
722,Ernest Haskell,1,2
723,Edward Bouverie Hoyton,1,2
724,Alfred von Franck,1,2
725,Adolph Menzel,1,2
726,Theodore Pfitzer,1,2
727,Ernest William Watson,1,2
728,William Roberts,1,2
729,Adam Elsheimer,1,2
730,Ada V. May,1,2
731,William Mills,1,2
732,Andreas Mattaus Wolfgang,1,2
733,André Dunoyer de Segonzac,1,2
