,target,source,value
3284,Ailsa Mellon Bruce Fund,Bartolomeo Tarsia,1
3593,Ailsa Mellon Bruce Fund,Hubert von Herkomer,1
3612,Ailsa Mellon Bruce Fund,Lorenz Ekemann-Allesson,1
3956,Ailsa Mellon Bruce Fund,Adolfo De Carolis,1
3611,Ailsa Mellon Bruce Fund,Carl Russ,1
3610,Ailsa Mellon Bruce Fund,Jacob Buys,1
3645,Ailsa Mellon Bruce Fund,Domenico Maggiotto,1
3722,Ailsa Mellon Bruce Fund,Peter Candid,1
3643,Ailsa Mellon Bruce Fund,Joseph Christ,1
3624,Ailsa Mellon Bruce Fund,Cornelis Galle II,1
3822,Ailsa Mellon Bruce Fund,Jan Wijnants,1
3804,Ailsa Mellon Bruce Fund,François Liénard,1
2358,Ailsa Mellon Bruce Fund,Hans Baldung Grien,2
3803,Ailsa Mellon Bruce Fund,Albert de Balleroy,1
3802,Ailsa Mellon Bruce Fund,Bertauts,1
3801,Ailsa Mellon Bruce Fund,C. Schulgen-Bettendorf,1
2360,Ailsa Mellon Bruce Fund,Domenico Beccafumi,2
3118,Ailsa Mellon Bruce Fund,Jan van Londerseel,31
3800,Ailsa Mellon Bruce Fund,Vincenzo Mazzi,1
3795,Ailsa Mellon Bruce Fund,Robert Polhill Bevan,1
2944,Ailsa Mellon Bruce Fund,Adriaen Collaert,13
3793,Ailsa Mellon Bruce Fund,Caspar Meneller,1
3805,Ailsa Mellon Bruce Fund,Libreria Antiquaria Mediolanum S.R.L.,1
3965,Ailsa Mellon Bruce Fund,Lukas Stipperger,1
3070,Ailsa Mellon Bruce Fund,Jean-François Janinet,2
3821,Ailsa Mellon Bruce Fund,François-Xavier Fabre,1
3824,Ailsa Mellon Bruce Fund,Juan López,1
2364,Ailsa Mellon Bruce Fund,"Jacopo Zanguidi, called Bertoia",2
3732,Ailsa Mellon Bruce Fund,Johann Gottfried Haid,1
2365,Ailsa Mellon Bruce Fund,Albert Besnard,2
3839,Ailsa Mellon Bruce Fund,Israel Ber Neumann,1
3851,Ailsa Mellon Bruce Fund,Andrea Muschio,1
3850,Ailsa Mellon Bruce Fund,Pierre Lelu,1
3848,Ailsa Mellon Bruce Fund,Francesco Benci,1
2912,Ailsa Mellon Bruce Fund,Jan Gerritsz van Bronckhorst,2
3846,Ailsa Mellon Bruce Fund,Emanuel Steiner,1
3792,Ailsa Mellon Bruce Fund,Sébastien-Louis-Guillaume Norblin de la Gourdaine,1
3808,Ailsa Mellon Bruce Fund,Ignatius van der Stock,1
3812,Ailsa Mellon Bruce Fund,Gabriel Zehender,1
3813,Ailsa Mellon Bruce Fund,Michael Ostendorfer,1
3960,Ailsa Mellon Bruce Fund,Johann Andreas Benjamin Nothnagel,1
3638,Ailsa Mellon Bruce Fund,Piedmontese 18th Century,1
3637,Ailsa Mellon Bruce Fund,Franz Anton Maulbertsch,1
2681,Ailsa Mellon Bruce Fund,Carlo Maratta,7
3636,Ailsa Mellon Bruce Fund,Arthur Wesley Dow,1
3634,Ailsa Mellon Bruce Fund,Aureliano Milani,1
3632,Ailsa Mellon Bruce Fund,Carl Gustav Amling,1
4043,Ailsa Mellon Bruce Fund,Ludovico Mattioli,13
3630,Ailsa Mellon Bruce Fund,Ferdinand Kobell,1
3627,Ailsa Mellon Bruce Fund,Hélène Boutourlin,1
3626,Ailsa Mellon Bruce Fund,Johann George Böhm,1
3726,Ailsa Mellon Bruce Fund,Antonio Lafreri,1
3730,Ailsa Mellon Bruce Fund,Willem van Lande,1
2389,Ailsa Mellon Bruce Fund,Correggio,3
3731,Ailsa Mellon Bruce Fund,William Dickinson,1
3253,Ailsa Mellon Bruce Fund,Georg Friedrich Schmidt,13
3807,Ailsa Mellon Bruce Fund,Hans Ulrich Franck,1
3819,Ailsa Mellon Bruce Fund,Lelio Orsi,1
2990,Ailsa Mellon Bruce Fund,Louis Elle I,2
2874,Ailsa Mellon Bruce Fund,Mathis Zündt,3
3817,Ailsa Mellon Bruce Fund,Denis-Louis Destors,1
3816,Ailsa Mellon Bruce Fund,Melchior Meier,1
3072,Ailsa Mellon Bruce Fund,Luis Jimenez y Aranda,2
3961,Ailsa Mellon Bruce Fund,Joannes Plano de,1
3964,Ailsa Mellon Bruce Fund,Ricard Canals Llambí,1
3814,Ailsa Mellon Bruce Fund,Eva Gonzalès,1
2538,Ailsa Mellon Bruce Fund,Käthe Kollwitz,5
3639,Ailsa Mellon Bruce Fund,Michele Canzio,1
2877,Ailsa Mellon Bruce Fund,Niccolò dell' Abate,1
3725,Ailsa Mellon Bruce Fund,Ange-Laurent de Lalive de Jully,1
3267,Ailsa Mellon Bruce Fund,Pierre Moreau,5
2699,Ailsa Mellon Bruce Fund,Pierre Puget,1
2887,Ailsa Mellon Bruce Fund,Frederick Bloemaert,3
2695,Ailsa Mellon Bruce Fund,Hans Jakob Plepp,1
2693,Ailsa Mellon Bruce Fund,Marco Pino,1
2686,Ailsa Mellon Bruce Fund,Cesare Nebbia,1
